epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,58.1031,0.43078,1,1,0.05681,0.000330556,0.000330556,0.067275
2,94.0166,0.0785,0.99167,1,0.01614,0.000650744,0.000650744,0.0342619
3,133.147,0.05165,1,1,0.00363,0.000957732,0.000957732,0.00123551
4,172.685,0.04545,0.99583,1,0.01027,0.0009406,0.0009406,0.0009406
5,211.832,0.05178,0.99583,1,0.03251,0.0009208,0.0009208,0.0009208
6,251.117,0.03703,1,1,0.0195,0.000901,0.000901,0.000901
7,354.704,0.02174,1,1,0.0112,0.0008812,0.0008812,0.0008812
8,454.147,0.0322,1,1,0.00068,0.0008614,0.0008614,0.0008614
9,500.435,0.01719,1,1,0.00029,0.0008416,0.0008416,0.0008416
10,602.601,0.02677,1,1,0.00219,0.0008218,0.0008218,0.0008218
11,713.008,0.01659,1,1,0.00201,0.000802,0.000802,0.000802
12,799.231,0.01364,1,1,0.00077,0.0007822,0.0007822,0.0007822
13,889.358,0.00471,1,1,0.00187,0.0007624,0.0007624,0.0007624
14,927.615,0.00505,1,1,0.00081,0.0007426,0.0007426,0.0007426
15,968.618,0.01165,1,1,0.00274,0.0007228,0.0007228,0.0007228
16,1012.12,0.01298,1,1,0.00094,0.000703,0.000703,0.000703
17,1054.49,0.00587,1,1,0.00039,0.0006832,0.0006832,0.0006832
18,1093.57,0.0059,1,1,0.00046,0.0006634,0.0006634,0.0006634
19,1132.88,0.00457,1,1,0.00013,0.0006436,0.0006436,0.0006436
20,1171.96,0.00485,1,1,0.00018,0.0006238,0.0006238,0.0006238
21,1211.25,0.00281,1,1,7e-05,0.000604,0.000604,0.000604
